Account,classification,total_trades,win_rate,total_pnl,avg_pnl,total_usd,pnl_std,ROI
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,0.41544117647058826,10953.24796,40.26929397058824,2965311.29,200.49800499088653,0.0036937936320338228
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,1.0,110.553364,5.818598105263158,64377.46000000001,11.787854130929217,0.0017172681867224956
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,0.36893203883495146,36870.155091,178.9813353932039,554152.63,1506.526777509594,0.06653429595921975
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,0.620253164556962,4256.559309,53.88049758227849,337546.24,98.484563038142,0.012610299877729346
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,0.5,4239.816383,163.0698608846154,124084.75,719.6963582320693,0.03416871439076921
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,0.5,8019.163096,4009.581548,63735.380000000005,5670.404604622509,0.12581964830208903
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,0.04918032786885246,9461.082288,155.09970963934427,149251.29,876.5854566151847,0.06339028820454416
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,0.23148148148148148,4019.61859,37.21869064814815,347816.12,147.30408177120762,0.011556734604480092
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,0.35714285714285715,99648.278349,1016.8191668265306,617413.63,3522.198965062618,0.16139630469285235
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,0.029411764705882353,12082.95,177.69044117647059,670213.14,1119.6796159782268,0.018028518509798242
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,0.5208333333333334,74293.663505,1547.7846563541668,202833.43,3076.5573387647805,0.36627918536406945
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,0.0,0.0,0.0,440050.95,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,1.0,124284.948775,8285.663251666667,124285.34,9492.439479325501,0.9999968522031641
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,0.10126582278481013,5615.052102,23.692202962025316,601013.33,131.44700057927827,0.009342641538416461
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,0.6373056994818653,227680.491734,294.922916753886,1174862.15,1125.0238231738003,0.19379336693585714
